OH                 1    80.000     2.750     0.000     0.000     0.000          
ONOMMH             2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3CH2NH2 = CH3NHNH2
N                  0    71.400     3.298     0.000     0.000     0.000 ! *          
N2                 1    97.530     3.621     0.000     1.760     4.000       
N2H2               2    71.400     3.798     0.000     0.000     1.000 ! * 
N2H3               2   200.000     3.900     0.000     0.000     1.000 ! *  
N2H4               2   205.000     4.230     0.000     4.260     1.500
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
N2O4               2   333.590     3.852     0.400     0.000     1.000 ! CJP = NO2
NAMMH              2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3CH2NH2 = CH3NHNH2
NCN                1   422.220     5.329     2.000     0.000     1.000 ! CJP
NCNO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NH                 1    80.000     2.650     0.000     0.000     4.000
NH2                2    80.000     2.650     0.000     2.260     4.000
NH2O               2   116.700     3.492     0.000     0.000     1.000 ! = NHOH = NH2OH
NH3                2   481.000     2.920     1.470     0.000    10.000
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
NO                 1   139.320     3.339     0.200     1.760     4.000 ! CJP
NO2                2   333.590     3.852     0.400     0.000     1.000 ! CJP
NO2MMH             2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3CH2NH2 = CH3NHNH2
NO3                2   400.000     4.200     0.200     0.000     1.000 ! CJP
CH2(T)             1   144.000     3.800     0.000     0.000     0.000          
C3H4(A)            1   252.000     4.760     0.000     0.000     1.000          
C3H4(P)            1   252.000     4.760     0.000     0.000     1.000          
CH2NO2             2   232.400     3.828     0.000     0.000     1.000 !refered to NCNO
C2H5O              2   470.600     4.410     0.000     0.000     1.500 !
C2H6N2             2   470.600     4.410     0.000     0.000     1.500 ! = C2H5O
C3H3               2   252.000     4.760     0.000     0.000     1.000 ! JAM    
C3H5               2   266.800     4.982     0.000     0.000     1.000
C3H6               2   266.800     4.982     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000         
CH3CO              2   436.000     3.970     0.000     0.000     2.000
CH3N2              2   417.000     3.690     1.700     0.000     2.000 ! = CH3O
CH3O2              2   417.000     3.690     1.700     0.000     2.000 ! = CH3O
CH3O2H             2   417.000     3.690     1.700     0.000     2.000 ! = CH3O 
CH4N2              2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3NHCH3
